ZUSTAND_ART,CONDITION_TYPE
1A,PRIME
1B,SECONDARY
34_NACHBARSCHAFT,NEIGHBORHOOD
35_AUSSENGEBIET,OUTLYING_AREA
ABRISSOBJEKT,DEMOLITION_PROPERTY
ABSOLUT,ABSOLUTE
ACKERBAU,ARABLE_FARMING
ALTBAU,OLD_BUILDING
ANBIETERLOGO,PROVIDER_LOGO
ANBOBJURL,PROPERTY_URL
ANWESEN,ESTATE
APARTMENT,APARTMENT
APARTMENTHAUS,APARTMENT_BUILDING
ATTIKAWOHNUNG,PENTHOUSE_APARTMENT
AUSSENANSICHTEN,EXTERIOR_VIEWS
AUSSIEDLERHOF,SETTLER_S_FARM
AUSSTELLUNGSFLAECHE,EXHIBITION_SPACE
AUTOBAHN,HIGHWAY
B_PLAN,DEVELOPMENT_PLAN
BAR,BAR
BAUERNHAUS,FARMHOUSE
BAUERNHOF,FARM
BAUERWARTUNGSLAND,EXPECTED_BUILDING_LAND
BAUFAELLIG,DILAPIDATED
BAULAND_OHNE_B_PLAN,BUILDABLE_LAND_WITHOUT_DEVELOPMENT_PLAN
BEDARF,DEMAND
BEI_BESICHTIGUNG,ON_INSPECTION
BERGE,MOUNTAINS
BERGHUETTE,MOUNTAIN_HUT
BETREUTES_WOHNEN,ASSISTED_LIVING
BILD,IMAGE
BOOTSLIEGEPLATZ,BOAT_MOORING
BUEROFLAECHE,OFFICE_SPACE
BUEROGEBAEUDE,OFFICE_BUILDING
BUEROHAUS,OFFICE_BUILDING
BUEROZENTRUM,OFFICE_CENTER
BUNGALOW,BUNGALOW
BURG,CASTLE
BUS,BUS
CAFE,CAFE
CARPORT,CARPORT
CHALET,CHALET
CHANGE,CHANGE
COWORKING,COWORKING
DACHGESCHOSS,ATTIC
DATETIME,DATETIME
DELETE,DELETE
DISCOTHEK,NIGHTCLUB
DOKUMENTE,DOCUMENTS
DOPPELGARAGE,DOUBLE_GARAGE
DOPPELHAUSHAELFTE,SEMI_DETACHED_HOUSE
DUPLEX,DUPLEX
EGAL,ANY
EINFAMILIENHAUS,SINGLE_FAMILY_HOUSE
EINKAUFSCENTREN,SHOPPING_CENTERS
EINKAUFSMOEGLICHKEITEN,SHOPPING_FACILITIES
EINKAUFSZENTRUM,SHOPPING_CENTER
EINRAUMLOKAL,ONE_ROOM_ESTABLISHMENT
EINZELGARAGE,SINGLE_GARAGE
EINZELHANDELSLADEN,RETAIL_STORE
EM_DIREKT,DIRECT_MARKETING
EM_PRIVAT,PRIVATE_MARKETING
EM_SONSTIGE,OTHER_MARKETING
EM_ZENTRALE,HQ_MARKETING
ENTKERNT,GUTTED
EPASS_SKALA,ENERGY_PASS_SCALE
ERDGESCHOSS,GROUND_FLOOR
ERSTBEZUG,FIRST_OCCUPANCY
ETAG,ETAG
ETAGE,FLOOR
EXTERN,EXTERNAL
FACTORY_OUTLET,FACTORY_OUTLET
FERIENHAUS,HOLIDAY_HOUSE
FERIENWOHNUNG,HOLIDAY_APARTMENT
FERNBAHNHOF,LONG_DISTANCE_TRAIN_STATION
FERNE,DISTANCE
FERTIGHAUS,PREFABRICATED_HOUSE
FILM,MOVIE
FILMLINK,MOVIE_LINK
FINCA,FINCA
FLUGHAFEN,AIRPORT
FREIFLAECHEN,OPEN_SPACES
FREIPLATZ,OPEN_SPACE
FREIZEIT,LEISURE
FREIZEITANLAGE,LEISURE_FACILITY
GALERIE,GALLERY
GARAGE,GARAGE
GARTENBAU,HORTICULTURE
GAS,GAS
GASTRONOMIE_UND_WOHNUNG,GASTRONOMY_AND_APARTMENT
GASTRONOMIE,GASTRONOMY
GASTSTAETTEN,RESTAURANTS
GEHOBEN,UPSCALE
GEPFLEGT,WELL_MAINTAINED
GESAMTSCHULE,COMPREHENSIVE_SCHOOL
GESCHAEFTSHAUS,BUSINESS_BUILDING
GEWERBE,COMMERCIAL
GEWERBEPARK,BUSINESS_PARK
GRUNDRISS,FLOOR_PLAN
GRUNDSCHULE,ELEMENTARY_SCHOOL
GYMNASIUM,HIGH_SCHOOL
HALLE,HALL
HAUPTSCHULE,MAIN_SCHOOL
HERRENHAUS,MANOR_HOUSE
HOCHREGALLAGER,HIGH_BAY_WAREHOUSE
HOTELS,HOTELS
INDUSTRIE,INDUSTRIAL
INDUSTRIEANLAGEN,INDUSTRIAL_FACILITIES
INDUSTRIEHALLE,INDUSTRIAL_HALL
INNENANSICHTEN,INTERIOR_VIEWS
INTERN,INTERNAL
JAGD_UND_FORSTWIRTSCHAFT,HUNTING_AND_FORESTRY
JAGDREVIER,HUNTING_GROUND
JAHR,YEAR
KARTEN_LAGEPLAN,MAPS_SITE_PLAN
KAUFHAUS,DEPARTMENT_STORE
KEIN_BAULAND,NOT_BUILDABLE_LAND
KEINE_ANGABE,NO_INFORMATION
KINDERGAERTEN,KINDERGARTENS
