zzgMehrwertsteuer,plusVAT
abdatum,fromDate
abstand,distance
abstellraum,storageRoom
adressfreigabe,addressRelease
aktenzeichen,fileNumber
aktion,action
aktivBis,activeTo
aktivVon,activeFrom
alsFerien,asHoliday
alter,age
altlasten,contamination
amtsgericht,districtCourt
anbieter,provider
anbieternr,providerNumber
angeschlGastronomie,attachedGastronomy
anhaenge,attachments
anhang,attachment
anhanginhalt,attachmentContent
anhangtitel,attachmentTitle
anrede,salutation
anredeBrief,letterSalutation
anzahlBadezimmer,numberOfBathrooms
anzahlBalkone,numberOfBalconies
anzahlBetten,numberOfBeds
anzahlEtagen,numberOfFloors
anzahlGewerbeeinheiten,numberOfCommercialUnits
anzahlLogia,numberOfLoggias
anzahlSchlafzimmer,numberOfBedrooms
anzahlSepWc,numberOfSeparateToilets
anzahlStellplaetze,numberOfParkingSpaces
anzahlTagungsraeume,numberOfMeetingRooms
anzahlTerrassen,numberOfTerraces
anzahlWohnSchlafzimmer,numberOfLivingBedrooms
anzahlWohneinheiten,numberOfResidentialUnits
anzahlZimmer,numberOfRooms
ausbaustufe,developmentStage
ausblick,view
ausnuetzungsziffer,floorAreaRatio
ausrichtBalkonTerrasse,balconyTerraceOrientation
aussenCourtage,externalCommission
ausstattBeschr,equipmentDescription
ausstattKategorie,equipmentCategory
ausstattung,equipment
ausstelldatum,issueDate
bad,bathroom
balkonTerrasseFlaeche,balconyTerraceArea
barrierefrei,barrierFree
baujahr,yearOfConstruction
bauweise,constructionMethod
bauzone,constructionZone
bebaubarNach,developableAccordingTo
befeuerung,heating
beginnAngebotsphase,startOfOfferPhase
beginnBietzeit,startOfBiddingTime
beheizbareFlaeche,heatedArea
berufsaufsichtsbehoerde,professionalSupervisoryAuthority
besichtigungstermin,viewingAppointment
besichtigungstermin2,viewingAppointment2
betriebskostennetto,netOperatingCosts
bewertung,evaluation
bgf,grossFloorArea
bibliothek,library
bieterverfahren,biddingProcess
bisdatum,toDate
bmz,floorSpaceIndex
boden,floor
branchen,industries
brauereibindung,breweryTie
breitbandZugang,broadbandAccess
bueroPraxen,officesPractices
bueroflaeche,officeArea
bueroteilflaeche,partialOfficeArea
bundesland,state
check,check
courtageHinweis,commissionNote
dachboden,attic
dachbodenflaeche,atticArea
dachform,roofShape
daten,data
denkmalgeschuetzt,listedBuilding
distanzen,distances
distanzenSport,sportDistances
dreizeiler,threeLines
dvVerkabelung,dataProcessingCabling
dvbt,digitalTerrestrialTV
einliegerwohnung,grannyFlat
einzelhandel,retail
emailDirekt,directEmail
emailFeedback,feedbackEmail
emailPrivat,privateEmail
emailSonstige,otherEmail
emailZentrale,centralEmail
endeBietzeit,endOfBiddingTime
endenergiebedarf,finalEnergyDemand
energiepass,energyCertificate
energietyp,energyType
energieverbrauchkennwert,energyConsumptionValue
epart,energyCertificateType
epasstext,energyCertificateText
erbpacht,leasehold
erschliessung,development
erschliessungUmfang,developmentScope
erschliessungskosten,developmentCosts
etage,floor
evbnetto,netUnitValue
fahrradraum,bicycleRoom
fahrstuhl,elevator
feld,field
fensterfront,windowFront
fensterfrontQm,windowFrontSqm
fgeeklasse,energyEfficiencyClass
fgeewert,energyEfficiencyValue
firma,company
firmenanschrift,companyAddress
firmenname,companyName
flaechebis,areaTo
flaechen,areas
flaechevon,areaFrom
flur,corridor
flurstueck,parcel
format,format
foto,photo
freiflaeche,openSpace
freitextPreis,freeTextPrice
freitexte,freeTexts
freitextfeld,freeTextField
freizeitimmobilieGewerblich,commercialLeisureProperty
gaestewc,guestToilet
gartenflaeche,gardenArea
gartennutzung,gardenUse
gastgewerbe,hospitality
gastroflaeche,gastronomyArea
gastterrasse,guestTerrace
gebaeudeart,buildingType
geg2018,buildingEnergyAct2018
gemarkung,cadastralDistrict
gemeindecode,municipalityCode
geo,geo
geokoordinaten,geoCoordinates
gesamtbelastungbrutto,totalCostGross
gesamtbelastungnetto,totalCostNet
gesamtflaeche,totalArea
gesamtkostenprom2von,totalCostsPerSqmFrom
gesamtmietebrutto,totalRentGross
gesamtmietenetto,totalRentNet
geschaeftsguthaben,businessAssets
geschlecht,gender
gewerblicheNutzung,commercialUse
gfz,floorAreaRatio
grundstueck,plot
grundstuecksflaeche,plotArea
grundstuecksfront,plotFront
